impl,latency_us,mode,heads,batch,seq_len,tokens_s,key_dim,value_dim,state_dtype,note
trtllm_kda_cute,141.94879531860352,kda_prefill,12,1,2048,14427737.800826503,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,174.08000230789185,kda_prefill,12,1,2048,11764705.726380581,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,251.96800231933594,kda_prefill,12,1,2048,8128016.181215075,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,839.1936302185059,kda_prefill,12,1,8192,9761751.883015366,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,653.6287784576416,kda_prefill,12,1,8192,12533107.889359683,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,810.3072166442871,kda_prefill,12,1,8192,10109745.824460758,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,524.5279788970947,kda_prefill,12,1,8192,15617851.343649982,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,646.1120128631592,kda_prefill,12,1,8192,12678916.096449353,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,721.1743831634521,kda_prefill,12,1,8192,11359249.84476786,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,618.0607795715332,kda_prefill,12,1,8192,13254359.8797501,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,443.58720779418945,kda_prefill,12,1,8192,18467620.021632433,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,794.3615913391113,kda_prefill,12,1,8192,10312683.907828635,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,1019.0560340881348,kda_prefill,12,1,8192,8038812.122171784,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,173.1935977935791,kda_prefill,12,4,512,11824917.468605913,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,121.33760452270508,kda_prefill,12,4,512,16878526.71936318,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,74.71680045127869,kda_prefill,12,4,512,27410167.293438368,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,52.00960040092468,kda_prefill,12,4,512,39377345.41724317,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,126.71040296554565,kda_prefill,12,4,512,16162840.240961747,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,168.11840534210205,kda_prefill,12,4,512,12181890.470781889,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,164.43519592285156,kda_prefill,12,4,512,12454754.52202377,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,100.08319616317749,kda_prefill,12,4,512,20462975.58943764,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,64.56320285797119,kda_prefill,12,4,512,31720855.05896099,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,187.391996383667,kda_prefill,12,4,512,10928961.959543448,128,128,float32,"same Triton port, C=64"
cutedsl_kda_recurrent,2.051199972629547,kda_prefill,12,4,512,998439950.9203167,128,128,float32,"retired spec-decode CuTeDSL kernel as short-prefill probe, seq<=1024"
fla_kda_chunk,599.7504234313965,kda_prefill,12,4,2048,13659014.950136265,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,412.96958923339844,kda_prefill,12,4,2048,19836811.749763295,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,247.93601036071777,kda_prefill,12,4,2048,33040783.337933052,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,166.28799438476562,kda_prefill,12,4,2048,49263929.30715691,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,415.22560119628906,kda_prefill,12,4,2048,19729033.99115655,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,543.0975914001465,kda_prefill,12,4,2048,15083845.20520595,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,498.17919731140137,kda_prefill,12,4,2048,16443882.129585095,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,228.4032106399536,kda_prefill,12,4,2048,35866395.99788099,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,258.21759700775146,kda_prefill,12,4,2048,31725180.990488745,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,692.5695896148682,kda_prefill,12,4,2048,11828414.24578792,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,2208.016014099121,kda_prefill,12,4,8192,14840472.075728793,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,1471.110439300537,kda_prefill,12,4,8192,22274330.41368401,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,921.6095924377441,kda_prefill,12,4,8192,35555185.480790794,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,610.9248161315918,kda_prefill,12,4,8192,53636714.59196682,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,1480.5472373962402,kda_prefill,12,4,8192,22132356.99093758,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,1997.2543716430664,kda_prefill,12,4,8192,16406523.107541377,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,1817.8464889526367,kda_prefill,12,4,8192,18025724.50376681,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,718.5919761657715,kda_prefill,12,4,8192,45600286.5142496,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,986.1151695251465,kda_prefill,12,4,8192,33229384.368743755,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,2699.0848541259766,kda_prefill,12,4,8192,12140411.202674473,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,200.23040771484375,kda_prefill,96,1,512,2557054.1749540856,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,206.85439109802246,kda_prefill,96,1,512,2475171.048012114,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,87.6255989074707,kda_prefill,96,1,512,5843041.375850138,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,63.67040276527405,kda_prefill,96,1,512,8041412.929136451,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,194.55039501190186,kda_prefill,96,1,512,2631708.868895783,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,266.1535978317261,kda_prefill,96,1,512,1923701.216782757,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,278.1888008117676,kda_prefill,96,1,512,1840476.6780904217,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,140.11839628219604,kda_prefill,96,1,512,3654052.669635476,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,129.0719985961914,kda_prefill,96,1,512,3966778.2754477924,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,408.0639839172363,kda_prefill,96,1,512,1254705.1937419795,128,128,float32,"same Triton port, C=64"
cutedsl_kda_recurrent,2.409599907696247,kda_prefill,96,1,512,212483407.87392762,128,128,float32,"retired spec-decode CuTeDSL kernel as short-prefill probe, seq<=1024"
fla_kda_chunk,671.4176177978516,kda_prefill,96,1,2048,3050262.527690487,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,692.0671939849854,kda_prefill,96,1,2048,2959250.2257005293,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,282.84480571746826,kda_prefill,96,1,2048,7240719.852729886,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,195.2064037322998,kda_prefill,96,1,2048,10491459.095822316,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,670.2239990234375,kda_prefill,96,1,2048,3055694.8169329613,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,909.3536376953125,kda_prefill,96,1,2048,2252149.125603654,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,955.241584777832,kda_prefill,96,1,2048,2143960.263702631,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,330.86400032043457,kda_prefill,96,1,2048,6189854.435709406,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,502.02879905700684,kda_prefill,96,1,2048,4079447.2425623606,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,1416.8319702148438,kda_prefill,96,1,2048,1445478.393383125,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,2484.9632263183594,kda_prefill,96,1,8192,3296628.2612306504,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,2492.758369445801,kda_prefill,96,1,8192,3286319.3241715105,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,1055.0368309020996,kda_prefill,96,1,8192,7764657.839476092,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,727.129602432251,kda_prefill,96,1,8192,11266217.153857762,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,2513.043212890625,kda_prefill,96,1,8192,3259792.7317680945,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,3450.4383087158203,kda_prefill,96,1,8192,2374191.122127,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,3651.2542724609375,kda_prefill,96,1,8192,2243612.5749408873,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,1025.712013244629,kda_prefill,96,1,8192,7986647.220876642,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,1934.9920272827148,kda_prefill,96,1,8192,4233609.174867725,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,5254.528045654297,kda_prefill,96,1,8192,1559036.3071284983,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,663.5200023651123,kda_prefill,96,4,512,3086568.5928079314,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,683.3407878875732,kda_prefill,96,4,512,2997040.475706168,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,240.17601013183594,kda_prefill,96,4,512,8527079.781514501,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,178.19520235061646,kda_prefill,96,4,512,11493014.250576511,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,663.4175777435303,kda_prefill,96,4,512,3087045.126187075,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,902.7872085571289,kda_prefill,96,4,512,2268530.1481765527,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,922.2208023071289,kda_prefill,96,4,512,2220726.3107452122,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,370.412802696228,kda_prefill,96,4,512,5528966.561340875,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,435.5679988861084,kda_prefill,96,4,512,4701906.488165829,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,1387.8527641296387,kda_prefill,96,4,512,1475660.857500513,128,128,float32,"same Triton port, C=64"
cutedsl_kda_recurrent,4.915200173854828,kda_prefill,96,4,512,416666651.92881083,128,128,float32,"retired spec-decode CuTeDSL kernel as short-prefill probe, seq<=1024"
fla_kda_chunk,2414.9248123168945,kda_prefill,96,4,2048,3392238.117815578,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,2416.1792755126953,kda_prefill,96,4,2048,3390476.891770259,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,767.1584129333496,kda_prefill,96,4,2048,10678368.19865745,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,613.8175964355469,kda_prefill,96,4,2048,13345984.291703489,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,2460.5663299560547,kda_prefill,96,4,2048,3329314.8411676055,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,3391.289520263672,kda_prefill,96,4,2048,2415600.305149728,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,3432.7232360839844,kda_prefill,96,4,2048,2386443.4842540203,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,1029.7375679016113,kda_prefill,96,4,2048,7955425.0086199865,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,1621.126365661621,kda_prefill,96,4,2048,5053276.6436481,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,5093.6126708984375,kda_prefill,96,4,2048,1608288.7587436156,128,128,float32,"same Triton port, C=64"
fla_kda_chunk,9432.53402709961,kda_prefill,96,4,8192,3473933.9297221457,128,128,float32,"upstream FLA Triton chunk pipeline, canonical gate (the original)"
fla_kda_safe_triton,9538.489532470703,kda_prefill,96,4,8192,3435344.7564681955,128,128,float32,"same FLA Triton pipeline, safe gate, FLA_FLASH_KDA=0 - matched baseline for flash_kda"
flash_kda,2950.1760482788086,kda_prefill,96,4,8192,11107133.765497657,128,128,float32,"MoonshotAI CUTLASS kernels, safe gate only; FLA auto-dispatches here when installed"
flashkda_ptx_int21,2360.620880126953,kda_prefill,96,4,8192,13881093.85791663,128,128,float32,"INT21 KDA-B200: plain CUDA/PTX rewrite of FlashKDA, ~1.5x CUTLASS; int32 offsets limit it to total tokens <= 262144"
sglang_kda_chunk,9662.72964477539,kda_prefill,96,4,8192,3391174.254545925,128,128,float32,SGLang-vendored FLA chunk pipeline (adds fused-intra small-grid path)
vllm_kda_chunk,13472.323608398438,kda_prefill,96,4,8192,2432245.6134866695,128,128,float32,vLLM-vendored FLA chunk pipeline + fused canonical gate
trtllm_kda_chunk,13528.901672363281,kda_prefill,96,4,8192,2422073.9268833757,128,128,float32,TRT-LLM-vendored FLA chunk pipeline + fused safe gate/beta
trtllm_kda_cute,3827.996826171875,kda_prefill,96,4,8192,8560090.691812066,128,128,float32,"TRT-LLM in-house CuTe DSL Blackwell prefill (ln_prefill custom op, safe gate); production wrapper incl. l2norm + state gather/scatter"
flashkda_style_triton_c16,6376.63688659668,kda_prefill,96,4,8192,5138758.970089144,128,128,float32,"this repo's Triton port of FlashKDA's 2-kernel algorithm, C=16"
flashkda_style_triton_c64,20397.18780517578,kda_prefill,96,4,8192,1606495.969590726,128,128,float32,"same Triton port, C=64"
